fighter_name,fighter_url
Loopy Godinez,http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7
Chase Hooper,http://ufcstats.com/fighter-details/971246648e162f0d
Drakkar Klose,http://ufcstats.com/fighter-details/7cbf7c78d3b34218
Dione Barbosa,http://ufcstats.com/fighter-details/27b388f0aab49780
Alibi Idiris,http://ufcstats.com/fighter-details/30cad5a751adcb48
Roman Dolidze,http://ufcstats.com/fighter-details/327d5f279895110d
Anthony Hernandez,http://ufcstats.com/fighter-details/093e1f5bb73850be
Steve Erceg,http://ufcstats.com/fighter-details/32ab52e5de93092d
Ode Osbourne,http://ufcstats.com/fighter-details/6d68c1afe954f121
Iasmin Lucindo,http://ufcstats.com/fighter-details/abcf2cc6efc42031
Andre Fili,http://ufcstats.com/fighter-details/8fd808923cffff82
Christian Rodriguez,http://ufcstats.com/fighter-details/5ec591b78349ba7e
Jean Matsumoto,http://ufcstats.com/fighter-details/ffd3224638c01b57
Eryk Anders,http://ufcstats.com/fighter-details/cad24459b28592ca
Julius Walker,http://ufcstats.com/fighter-details/6add18754930182b
Elijah Smith,http://ufcstats.com/fighter-details/7478b7f959ba61f5
Toshiomi Kazama,http://ufcstats.com/fighter-details/148bb103cfbf123e
Joselyne Edwards,http://ufcstats.com/fighter-details/f9ab66e67240db7b
Priscila Cachoeira,http://ufcstats.com/fighter-details/b1e5bcaad32a3cac
Gilbert Urbina,http://ufcstats.com/fighter-details/b12fb759e02378de
Gabriella Fernandes,http://ufcstats.com/fighter-details/a6eb54ae17a551be
Julija Stoliarenko,http://ufcstats.com/fighter-details/a78a87d8c2bbb1cb
Cody Brundage,http://ufcstats.com/fighter-details/f14f644d41ade29f
Elves Brener,http://ufcstats.com/fighter-details/48a9a128784d53d1
Esteban Ribovics,http://ufcstats.com/fighter-details/323d4ca260dfa0ba
Karol Rosa,http://ufcstats.com/fighter-details/351c4ec637380ad5
Nora Cornolle,http://ufcstats.com/fighter-details/f2b3f4ef3f780168
Elizeu Zaleski dos Santos,http://ufcstats.com/fighter-details/8adcbd525fab8d9b
Danny Silva,http://ufcstats.com/fighter-details/d964a59c48381cb6
Kevin Vallejos,http://ufcstats.com/fighter-details/239d8e5359022f3b
Rinya Nakamura,http://ufcstats.com/fighter-details/d8c811df0386d5e8
Nathan Fletcher,http://ufcstats.com/fighter-details/a2d342ffc83913ed
